model,mae,rmse,mape
persistence,0.3340897465912768,0.4795933784346201,94.84278369583527
lstm,0.3549879411092171,0.5067571062996143,65.02875673410992
mlp,0.4411757645698694,0.5796157072109326,67.00521754949051
