model,mae,rmse,mape
persistence,0.3551111195702106,0.5033670051042001,107.74672659939333
mlp,0.3640228857596715,0.5450976020975437,57.01650853668231
lstm,0.35189988029499847,0.5562760463010137,55.028488320980784
