model,mae,rmse,mape
lstm,0.26664738776162267,0.46781985918726376,36.6707336478336
persistence,0.4013125039055012,0.5387458371296515,92.8327083923329
mlp,0.39127006009221077,0.5409652564038109,51.369309563754626
