model,mae,rmse,mape
persistence,0.3648833393584937,0.4944307364044662,74.53260806348892
lstm,0.30655239559710024,0.515930704685913,33.02295198722318
mlp,0.36881671883165834,0.5380209237597756,43.73198815028046
