model,mae,rmse,mape
persistence,0.3648833393584937,0.4944307364044662,74.53260806348892
lstm,0.3125950463116169,0.5065389100726483,33.60720084717609
mlp,0.371112871542573,0.5317671632035785,44.98732043836059
