model,mae,rmse,mape
persistence,0.22620155058021463,0.3451337672808884,38.20209208448695
mlp,0.40335024061591124,0.5389741710095234,52.98853897722521
lstm,0.5653868317604065,0.739197615841383,60.155527859005375
