model,mae,rmse,mape
mlp,0.44584204877416295,0.5924224966531028,59.15849578648259
lstm,0.4167477579580413,0.5987771988763747,54.18754859119215
persistence,0.5930925959514247,0.7184772394950908,159.17462865822637
